ID,Type,Personne,Source_Texte,Position_Debut,Position_Fin,Confiance
7700,marraine,ai nes et témoins,marrai- nes et témoins,1349652,1349674,0.4
6476,marraine,aie ville,Maraie- ville,741285,741298,0.4
4924,marraine,aine,marraine,36312,36320,0.4
5099,marraine,aine,marraine,109374,109383,0.4
5273,marraine,aine,marraine,188744,188752,0.4
5631,marraine,aine,marraine,354927,354935,0.4
5772,marraine,aine,marraine,412192,412200,0.4
5775,marraine,aine,marraine,412851,412859,0.4
6112,marraine,aine,marraine,563627,563636,0.4
6305,marraine,aine,marraine,660516,660525,0.4
6312,marraine,aine,marraine,662714,662723,0.4
6629,marraine,aine,marraine,825702,825710,0.4
6650,marraine,aine,marraine,832374,832383,0.4
7142,marraine,aine,marraine,1055238,1055246,0.4
7443,marraine,aine,marraine,1211629,1211638,0.4
7460,marraine,aine,marraine,1218042,1218050,0.4
7810,marraine,aine,marraine,1403884,1403892,0.4
8194,marraine,aine,marraine,1660673,1660682,0.4
8495,marraine,aine,marraine,1905145,1905153,0.4
8501,marraine,aine,marraine,1906238,1906246,0.4
6519,marraine,aines,marraines,764913,764922,0.4
5067,marraine,ais,Marais,96972,96978,0.4
5230,marraine,ais,marais,162920,162927,0.4
5295,marraine,ais,Marais,199551,199557,0.4
5314,marraine,ais,Marais,211664,211670,0.4
5397,marraine,ais,Marais,252519,252525,0.4
5409,marraine,ais,Marais,255014,255021,0.4
5413,marraine,ais,Marais,255475,255481,0.4
5467,marraine,ais,Marais,274958,274964,0.4
5507,marraine,ais,Marais,291005,291012,0.4
5650,marraine,ais,marais,361384,361390,0.4
5653,marraine,ais,Marais,362402,362408,0.4
5654,marraine,ais,Marais,362431,362437,0.4
5656,marraine,ais,Marais,363038,363044,0.4
5659,marraine,ais,Marais,363579,363586,0.4
5663,marraine,ais,Marais,366040,366046,0.4
5667,marraine,ais,Marais,367482,367488,0.4
5678,marraine,ais,marais,371232,371238,0.4
5681,marraine,ais,marais,372350,372356,0.4
5683,marraine,ais,marais,372531,372537,0.4
5685,marraine,ais,marais,373173,373180,0.4
5686,marraine,ais,marais,373803,373809,0.4
5758,marraine,ais,marais,403728,403734,0.4
5890,marraine,ais,Marais,471829,471835,0.4
5948,marraine,ais,Marais,499496,499502,0.4
5989,marraine,ais,Marais,516649,516655,0.4
6102,marraine,ais,Marais,559471,559477,0.4
6116,marraine,ais,Marais,567426,567432,0.4
6117,marraine,ais,Marais,567537,567543,0.4
